world_rank,university_name,country,teaching,international,research,citations,total_score,num_students,student_staff_ratio,international_students,year
56,University of Massachusetts,United States,61.3,22.6,72.6,67.9,64.7,56959,13,11%,2011
57,Kyoto University,Japan,78.9,18.4,77.7,46.3,64.6,22809,5.6,7%,2011
58,Tsinghua University,China,74.9,43,66.6,52.7,64.2,39763,13.7,10%,2011
59,Boston University,United States,53.6,38.1,51.9,91.4,64,24789,8.6,17%,2011
60,New York University,United States,62,31.8,50.7,82.9,63.9,42056,6.8,19%,2011
61,Emory University,United States,63.4,52.3,48.4,77.8,63,12338,4.5,18%,2011
61,LMU Munich,Germany,59.1,43.1,57.5,76.4,63,35691,15.5,13%,2011
63,University of Notre Dame,United States,56.4,35.6,45.1,89.1,62.8,11829,13.8,10%,2011
64,University of Pittsburgh,United States,58.5,25.2,58.3,78.3,62.7,26485,5.8,10%,2011
65,Case Western Reserve University,United States,67.2,56.5,53.8,66,62.2,9259,6.4,17%,2011
66,Ohio State University,United States,63.5,64,54.9,67.2,62.1,51462,13.4,12%,2011
67,University of Colorado Boulder,United States,46.4,31.7,58.1,83.4,61.6,29325,16.1,8%,2011
68,University of Bristol,United Kingdom,49.6,67.2,53.1,80.9,61.4,17906,14,25%,2011
68,"University of California, Santa Cruz",United States,38.3,16.7,50.4,99.6,61.4,17404,22.7,1%,2011
68,Yeshiva University,United States,63.5,53.3,46.7,74.4,61.4,6753,5.5,7%,2011
71,University of Sydney,Australia,49.8,89.6,61.9,64.3,61.2,41868,20.2,28%,2011
72,University of Virginia,United States,62,42.2,55.4,68.6,61.1,23845,10.2,12%,2011
73,University of Adelaide,Australia,46.5,87.5,38.8,90.5,60.7,20771,30.1,26%,2011
73,University of Southern California,United States,65.4,31.2,48.7,71.9,60.7,36534,12.9,20%,2011
75,William & Mary,United States,53.1,20.9,36.1,95.6,60.4,7867,11.8,7%,2011
76,Trinity College Dublin,Republic of Ireland,47.7,84.2,45.3,84.4,60.3,15521,18,25%,2011
77,King’s College London,United Kingdom,48.5,85.9,54.5,72.1,59.7,21394,11.4,37%,2011
78,Stony Brook University,United States,48.5,52.2,43.6,85.8,59.6,21908,10.9,24%,2011
79,Korea Advanced Institute of Science and Technology (KAIST),South Korea,71.3,36.7,63.4,45.5,59.5,9027,10,9%,2011
79,University of Sussex,United Kingdom,42.4,72.8,42.4,91.6,59.5,12001,17.4,35%,2011
81,The University of Queensland,Australia,51.8,74.2,53.4,69,59.1,34718,32.7,27%,2011
81,University of York,United Kingdom,47.9,66.6,46.2,81.9,59.1,32000,28,19%,2011
83,Heidelberg University,Germany,59.2,63.4,47.5,70.3,59,28881,24.5,17%,2011
83,University of Utah,United States,55.8,22.5,54.2,72,59,25674,16.9,9%,2011
85,Durham University,United Kingdom,39.8,65.7,44.1,91,58.9,15489,15.7,24%,2011
86,London School of Economics and Political Science,United Kingdom,62.4,99.5,56.2,51.6,58.3,10000,14,26,2011
87,University of Manchester,United Kingdom,56.5,79.1,56.2,59.2,58,34938,15.3,34%,2011
88,"Royal Holloway, University of London",United Kingdom,37.7,92.9,36.2,93.2,57.9,8747,15.9,37%,2011
89,Lund University,Sweden,46.3,56.8,60.8,67.6,57.8,28251,11.5,15%,2011
90,University of Southampton,United Kingdom,50.8,69,47.8,72.9,57.7,20925,13.5,29%,2011
91,University of Zurich,Switzerland,56.6,87.9,47,65,57.7,26583,6.5,19%,2011
92,Wake Forest University,United States,54.6,24.4,42.9,79.2,57.7,7326,4.6,5%,2011
93,McMaster University,Canada,44.7,68,58.7,68.5,57.6,23823,19.3,15%,2011
94,University College Dublin,Republic of Ireland,42.4,87,36.6,86.3,57.5,22193,24.5,23%,2011
96,George Washington University,United States,60.6,39.6,43.1,70.2,57.3,20541,12,16%,2011
97,University of Arizona,United States,52.4,21.9,52.2,70.1,57.3,36429,12.7,8%,2011
98,University of Basel,Switzerland,50.2,91.3,37.1,78.3,57.3,12551,17.3,24%,2011
99,"University of Maryland, College Park",United States,45.4,35.4,48.6,79.2,57.2,31331,8.4,9%,2011
99,Dartmouth College,United States,44.7,31,49.2,79.7,57.1,6178,6.6,16%,2011
